date,ugx_per_usd
2011-05-01,2387.6840476190473
2011-06-01,2461.0385
2011-07-01,2587.2283333333335
2011-08-01,2753.2327272727275
2011-09-01,2814.0187683307863
2011-10-01,2805.3659749066933
2011-11-01,2582.177272727273
2011-12-01,2446.9142857142856
2012-01-01,2414.1930952380953
2012-02-01,2327.9692857142854
2012-03-01,2485.018095238095
2012-04-01,2506.2126315789474
2012-05-01,2479.052946037369
2012-06-01,2484.357619047619
2012-07-01,2474.1802272727273
2012-08-01,2492.038128950462
2012-09-01,2515.877
2012-10-01,2579.4281129554893
2012-11-01,2622.9527272727273
2012-12-01,2673.477061693551
2013-01-01,2683.7892857142856
2013-02-01,2657.549303012519
2013-03-01,2636.8915789473685
2013-04-01,2578.011692639814
2013-05-01,2586.113487615457
2013-06-01,2593.0815059426486
2013-07-01,2588.900520484959
2013-08-01,2578.871508110248
2013-09-01,2568.8642140883708
2013-10-01,2534.3918437899797
2013-11-01,2523.272621430863
2013-12-01,2512.9372610108376
2014-01-01,2499.9038907653326
2014-02-01,2471.9617877433748
2014-03-01,2534.215691310726
2014-04-01,2529.787006975173
2014-05-01,2532.3858528510123
2014-06-01,2580.862271485874
2014-07-01,2633.51535669946
2014-08-01,2612.507067773632
2014-09-01,2618.796150304579
2014-10-01,2680.508661419672
2014-11-01,2734.22225
2014-12-01,2768.794799180517
2015-01-01,2860.71175
2015-02-01,2868.8475
2015-03-01,2951.7368125515477
2015-04-01,2995.578
2015-05-01,3007.603
2015-06-01,3199.90275
2015-07-01,3360.0940909090914
2015-08-01,3548.25119047619
2015-09-01,3667.5047619047623
2015-10-01,3636.024523809524
2015-11-01,3428.9980952380956
2015-12-01,3362.4925691699605
2016-01-01,3451.208947368421
2016-02-01,3435.113961352657
2016-03-01,3365.4968913043476
2016-04-01,3343.572077294686
2016-05-01,3348.919254658385
2016-06-01,3367.992602657005
2016-07-01,3379.293388888889
2016-08-01,3373.535
2016-09-01,3381.40619047619
2016-10-01,3435.8483597883596
2016-11-01,3560.623434343435
2016-12-01,3598.165978835979
2017-01-01,3609.4773015873016
2017-02-01,3585.349546783626
2017-03-01,3599.014113636364
2017-04-01,3618.6972222222225
2017-05-01,3623.6065909090908
2017-06-01,3591.0985714285716
2017-07-01,3601.5305000000003
2017-08-01,3606.0317391304347
2017-09-01,3599.8660000000004
2017-10-01,3637.909523809524
2017-11-01,3638.8508080808083
2017-12-01,3623.2615789473684
2018-01-01,3640.0530423280425
2018-02-01,3637.5626023391815
2018-03-01,3660.117861111111
2018-04-01,3697.2425000000003
2018-05-01,3726.84303030303
2018-06-01,3840.4767500000003
2018-07-01,3760.4434391534387
2018-08-01,3729.5325
2018-09-01,3800.679416666667
2018-10-01,3777.977727272727
2018-11-01,3739.772285353535
2018-12-01,3714.126783625731
2019-01-01,3702.434090909091
2019-02-01,3672.8940000000002
2019-03-01,3706.1915
2019-04-01,3736.97575
2019-05-01,3765.6293308080803
2019-06-01,3728.9883024691353
2019-07-01,3696.486956521739
2019-08-01,3693.733863636364
2019-09-01,3675.4964285714286
2019-10-01,3696.206363636363
2019-11-01,3697.442857142857
2019-12-01,3676.7295
2020-01-01,3681.3686363636366
2020-02-01,3676.8465000000006
2020-03-01,3772.9075
2020-04-01,3785.7464166666664
2020-05-01,3791.46
2020-06-01,3737.9445
2020-07-01,3703.5370454545455
2020-08-01,3677.5276190476193
2020-09-01,3695.0872727272726
2020-10-01,3719.9169285714283
2020-11-01,3710.677380952381
2020-12-01,3666.543181818182
2021-01-01,3691.5636572890025
2021-02-01,3667.315789473684
2021-03-01,3662.8695454545455
2021-04-01,3623.3019999999997
2021-05-01,3552.786578947369
2021-06-01,3540.352105263158
2021-07-01,3552.305714285714
2021-08-01,3537.036818181818
2021-09-01,3530.6313636363634
2021-10-01,3579.9423809523805
2021-11-01,3551.5227954545453
2021-12-01,3554.991739130435
2022-01-01,3528.8334999999997
2022-02-01,3514.5068421052633
2022-03-01,3589.8422727272728
2022-04-01,3541.456111111111
2022-05-01,3633.068095238095
2022-06-01,3747.3807500000003
2022-07-01,3791.5919047619045
2022-08-01,3832.4491304347825
2022-09-01,3825.326363636363
2022-10-01,3822.2676190476186
2022-11-01,3760.228181818182
2022-12-01,3690.857857142857
2023-01-01,3693.6104761904767
2023-02-01,3685.7157894736847
2023-03-01,3744.515
2023-04-01,3745.819411764706
2023-05-01,3729.5545454545454
2023-06-01,3707.7879999999996
2023-07-01,3661.229523809524
2023-08-01,3689.1226086956526
2023-09-01,3738.9407142857144
2023-10-01,3755.6253174603175
2023-11-01,3782.0251893939394
2023-12-01,3780.739766081871
2024-01-01,3805.033624338624
2024-02-01,3873.587736111111
2024-03-01,3895.779736842105
2024-04-01,3822.6875
2024-05-01,3791.4007936507937
2024-06-01,3747.190526315789
2024-07-01,3705.854806763285
2024-08-01,3723.647286501378
2024-09-01,3711.3130880230883
2024-10-01,3667.9260674931134
2024-11-01,3678.647546897547
2024-12-01,3664.081712121212
2025-01-01,3688.958987603306
2025-02-01,3677.712329545454
2025-03-01,3667.8645995670995
2025-04-01,3669.612056818182
2025-05-01,3653.3971536796535
2025-06-01,3605.8384343434345
2025-07-01,3586.5659090909094
2025-08-01,3563.9288636363635
2025-09-01,3507.7902066115707
2025-10-01,3463.8557644628095
2025-11-01,3575.136625
2025-12-01,3575.228841991342
2026-01-01,3562.143712121212
2026-02-01,3568.228935406699
2026-03-01,3730.530987012987
2026-04-01,3716.6992261904766
