date,arabica_usd,robusta_usd,arabica_ma3,robusta_ma3,arabica_pct_change,robusta_pct_change,arabica_volatility,robusta_volatility,ugx_per_usd,arabica_ugx,robusta_ugx,rainfall_mm,temp_celsius,soil_moisture,rainfall_lag6,rainfall_lag9,drought_flag,health_score
2007-07-01,2.593294506,2.039493962,2.573526413333333,1.97754414,-1.4246207994636717,-0.1834268450582765,4.613764738332277,5.04778130592902,1652.869772727273,4286.378100747105,3371.017921449585,3689.5925,21.331055,0.31915638,1930.1514,3710.0662,0,78.8
2007-08-01,2.715871378,1.927719728,2.64664631,2.0034851686666677,4.726685369378569,-5.48048859582747,4.458875590267748,4.2973657610950085,1737.4304347826087,4718.637589092183,3349.278925158052,4464.2773,21.164825,0.34197238,2387.2795,5650.596,0,91.4
2007-09-01,2.822795448,2.045446436,2.710653777333333,2.0042200420000005,3.937007874015741,6.107044830741093,4.456361021211233,4.404133512071506,1762.8302500000002,4976.109205296702,3605.7748521354897,4245.869,21.539917,0.34204113,1836.5984,3731.7202,0,91.5
2007-10-01,2.960584198,2.00840882,2.8330836746666663,1.9938583280000008,4.88128709778195,-1.8107350722138429,4.561592313278831,4.347982978311502,1747.1716666666669,5172.6488275266565,3509.034985387434,3492.0134,22.288849,0.31408927,4078.7686,1930.1514,0,76.0
2007-11-01,2.8880522,2.041257658,2.8904772820000004,2.031704304666667,-2.449921811006017,1.6355653128430347,3.75156523233712,4.345615930220069,1707.7287499999998,4932.00977344075,3485.914388724267,3534.1694,22.404358,0.3019176,3451.8694,2387.2795,0,69.3
2007-12-01,3.033116196,2.014802218,2.960584198,2.0214895653333333,5.022900763358762,-1.2960362890161117,3.749081811335553,4.400927101463118,1711.6133333333337,5191.5221226228805,3448.562340358373,1735.9686,23.07483,0.24919896,3732.854,1836.5984,0,40.2
2008-01-01,3.083381532,2.187203502,3.001516642666667,2.081087792666667,1.6572176188399457,8.556734872524352,3.57069017544648,4.832592278170401,1710.585681818182,5274.388300221811,3741.398993743785,1952.4861,23.589264,0.22829787,3689.5925,4078.7686,0,28.7
2008-02-01,3.467646798,2.54523379,3.194714842,2.2490798366666667,12.462462462462454,16.369317609112,4.712411490117131,6.298603082684014,1707.829761904762,5922.150405398151,4346.826017567656,1776.1909,23.821869,0.23733504,4464.2773,3451.8694,0,33.6
2008-03-01,3.304504918,2.687872704,3.2851777493333336,2.4734366653333333,-4.704685612562775,5.604157644001728,4.7941141917520085,6.027488852432902,1684.2555263157894,5565.630669879205,4527.064455745364,3891.7703,23.139526,0.27939683,4245.869,3732.854,0,56.9
2008-04-01,3.10190034,2.453521598,3.291350685333333,2.5622093640000005,-6.131162852758698,-8.71883202099738,5.240506167861272,7.0732799783122005,1686.6834090909092,5231.92384013145,4138.314173192815,4276.9023,22.30072,0.31950393,3492.0134,3689.5925,0,79.0
2008-05-01,3.12945809,2.400390256,3.178621116,2.513928186,0.8884150675195546,-2.1655135232276024,5.1649774129189705,7.180170325075075,1647.6807142857142,5156.347741058406,3955.076731570549,2706.7341,22.546692,0.29278314,3534.1694,4464.2773,0,64.3
2008-06-01,3.22205213,2.454623908,3.151136853333333,2.436178587333334,2.9587883057414555,2.259368111682569,5.068315821576939,6.722206871548667,1600.7397368421052,5157.666878667745,3929.21402853826,2597.1602,21.621216,0.30200958,1735.9686,4245.869,0,69.4
2008-07-01,3.248728032,2.540383626,3.200079417333333,2.4651325966666677,0.8279165241190656,3.493802766301424,4.978186808921245,6.710371070637149,1633.9402173913045,5308.227386851304,4150.83497412375,3344.7593,21.227295,0.30571732,1952.4861,3492.0134,0,71.4
2008-08-01,3.228225066,2.481520272,3.233001742666666,2.492175935333333,-0.631107491856675,-2.3171049205935934,4.952228269324886,6.444683212364876,1623.6190476190477,5241.407707158857,4029.043580672,3712.668,21.526764,0.32053852,1776.1909,3534.1694,0,79.6
2008-09-01,3.158559074,2.323228556,3.211837390666666,2.448377484666667,-2.1580277265587644,-6.378820184790335,4.998609739587639,6.775325295449598,1645.01075,5195.863631240045,3821.735949326977,3436.4565,22.231049,0.31868395,3891.7703,1735.9686,0,78.6
2008-10-01,2.724689858,1.957041174,3.037157999333333,2.253930000666667,-13.736302086968657,-15.762004175365352,6.395973412380831,8.362877653352681,1838.6629545454543,5009.786304530316,3598.339107153945,5137.76,21.823181,0.33890668,4276.9023,1952.4861,0,89.8
2008-11-01,2.687211318,2.000913112,2.856820083333333,2.0937276140000005,-1.375515818431905,2.241748338402627,6.373668911221078,8.374774385595577,1910.13,5132.92295485134,3822.00416262456,3634.8892,22.246582,0.31553367,2706.7341,1776.1909,0,76.8
2008-12-01,2.622836414,1.819031962,2.6782458633333337,1.925662082666667,-2.3956025925014446,-9.089907448215085,6.15483066229973,8.78966807825622,1956.18875,5130.763086157142,3558.3698599548275,1060.1897,23.609833,0.2210749,2597.1602,3891.7703,1,24.7
2009-01-01,2.82852746,1.824102588,2.7128583973333336,1.881349220666667,7.842313188198702,0.2787540904132912,6.640010342166751,8.327614235580443,1975.97,5589.0854051362,3604.37199081036,2200.187,23.939148,0.21683544,3344.7593,4276.9023,0,22.3
2009-02-01,2.854541976,1.768546164,2.7686352833333334,1.8038935713333335,0.919719407638353,-3.0456852791878157,5.287901942251636,6.229330287024411,1964.83275,5608.697560694514,3474.897422914071,1641.3832,24.273102,0.23509021,3712.668,2706.7341,0,32.4
