date,rainfall_mm,temp_celsius,soil_moisture,rainfall_lag6,rainfall_lag9,drought_flag,health_score
2014-08-01,4323.609,21.386383,0.33117306,1059.7614,4014.197,0,85.5
2014-09-01,3769.4912,21.850128,0.32597196,3356.0654,1801.7932,0,82.6
2014-10-01,5043.913,22.051605,0.33761033,4124.891,897.60406,0,89.0
2014-11-01,3578.5671,22.49762,0.31091684,4078.4353,1059.7614,0,74.3
2014-12-01,1368.218,23.48465,0.25374237,2915.847,3356.0654,0,42.7
2015-01-01,319.4246,24.745605,0.17641795,2593.0847,4124.891,1,0.0
2015-02-01,890.52374,25.826172,0.17930757,4323.609,4078.4353,1,1.6
2015-03-01,2716.1135,25.362976,0.2124081,3769.4912,2915.847,0,19.9
2015-04-01,5769.4473,22.260681,0.3414245,5043.913,2593.0847,0,91.1
2015-05-01,4420.8066,22.445984,0.3306912,3578.5671,4323.609,0,85.2
2015-06-01,4064.153,21.958313,0.33524725,1368.218,3769.4912,0,87.7
2015-07-01,2402.1826,22.387146,0.28615293,319.4246,5043.913,0,60.6
2015-08-01,2074.122,22.87918,0.28176856,890.52374,3578.5671,0,58.2
2015-09-01,2492.8105,23.28009,0.2785895,2716.1135,1368.218,0,56.4
2015-10-01,5784.486,22.713348,0.31431293,5769.4473,319.4246,0,76.2
2015-11-01,5788.5166,21.75113,0.34925225,4420.8066,890.52374,0,95.5
2015-12-01,2944.982,22.643005,0.30586964,4064.153,2716.1135,0,71.5
2016-01-01,1558.5603,24.426788,0.23412447,2402.1826,5769.4473,0,31.9
2016-02-01,693.07306,26.148224,0.18922856,2074.122,4420.8066,1,7.1
2016-03-01,2113.7632,25.93158,0.2241624,2492.8105,4064.153,0,26.4
2016-04-01,6323.442,23.092651,0.32794553,5784.486,2402.1826,0,83.7
2016-05-01,4151.435,22.61847,0.3346424,5788.5166,2074.122,0,87.4
2016-06-01,2091.1306,22.397644,0.28074396,2944.982,2492.8105,0,57.6
2016-07-01,2924.376,22.018616,0.29371214,1558.5603,5784.486,0,64.8
2016-08-01,2399.4602,22.3078,0.29431656,693.07306,5788.5166,0,65.1
2016-09-01,3269.1013,22.83023,0.27812222,2113.7632,2944.982,0,56.2
2016-10-01,2732.2275,23.343018,0.2852875,6323.442,1558.5603,0,60.1
2016-11-01,3401.9968,23.175964,0.28738192,4151.435,693.07306,0,61.3
2016-12-01,1054.2852,24.193268,0.23130862,2091.1306,2113.7632,1,30.3
2017-01-01,753.6583,25.35373,0.17853215,2924.376,6323.442,1,1.2
2017-02-01,2100.9287,24.864136,0.21905218,2399.4602,4151.435,0,23.5
2017-03-01,2593.2122,24.51181,0.25814793,3269.1013,2091.1306,0,45.1
2017-04-01,3600.1821,23.986115,0.27495602,2732.2275,2924.376,0,54.4
2017-05-01,3768.6572,22.685364,0.31946486,3401.9968,2399.4602,0,79.0
2017-06-01,2300.0706,22.96817,0.28072715,1054.2852,3269.1013,0,57.6
2017-07-01,3685.1975,21.888916,0.31358784,753.6583,2732.2275,0,75.8
2017-08-01,4083.5947,21.909393,0.32625282,2100.9287,3401.9968,0,82.8
2017-09-01,4654.169,22.07013,0.33918878,2593.2122,1054.2852,0,89.9
2017-10-01,3938.0415,22.591492,0.3239226,3600.1821,753.6583,0,81.5
2017-11-01,3873.7368,22.306732,0.31687024,3768.6572,2100.9287,0,77.6
2017-12-01,1102.8916,24.14618,0.22346354,2300.0706,2593.2122,1,26.0
2018-01-01,954.9617,24.362091,0.19386303,3685.1975,3600.1821,1,9.6
2018-02-01,1613.5764,25.428589,0.19907556,4083.5947,3768.6572,0,12.5
2018-03-01,4340.533,22.835846,0.31898072,4654.169,2300.0706,0,78.7
2018-04-01,6854.9736,21.709808,0.35460502,3938.0415,3685.1975,0,98.4
2018-05-01,4724.3076,21.92517,0.35057238,3873.7368,4083.5947,0,96.2
2018-06-01,3077.1968,21.637726,0.32276034,1102.8916,4654.169,0,80.8
2018-07-01,1689.2139,21.884247,0.27829632,954.9617,3938.0415,0,56.3
2018-08-01,3584.1055,21.813202,0.30141345,1613.5764,3873.7368,0,69.0
2018-09-01,2710.9785,22.581635,0.30529046,4340.533,1102.8916,0,71.2
2018-10-01,4200.7173,22.637848,0.31227803,6854.9736,954.9617,0,75.0
2018-11-01,2860.1294,23.236328,0.29554453,4724.3076,1613.5764,0,65.8
2018-12-01,2687.7644,23.122711,0.2714611,3077.1968,4340.533,0,52.5
2019-01-01,1253.8352,24.662659,0.22127365,1689.2139,6854.9736,0,24.8
2019-02-01,1048.0425,25.725647,0.19460525,3584.1055,4724.3076,1,10.0
2019-03-01,1723.83,25.512451,0.21792144,2710.9785,3077.1968,0,22.9
2019-04-01,4018.7188,24.338562,0.27468595,4200.7173,1689.2139,0,54.3
2019-05-01,4899.068,22.831238,0.3235247,2860.1294,3584.1055,0,81.3
2019-06-01,5013.756,21.672821,0.34736153,2687.7644,2710.9785,0,94.4
2019-07-01,3283.1318,21.754303,0.32854834,1253.8352,4200.7173,0,84.0
2019-08-01,3921.8838,21.882141,0.32726774,1048.0425,2860.1294,0,83.3
2019-09-01,4354.106,22.308838,0.33132184,1723.83,2687.7644,0,85.6
2019-10-01,6860.629,21.435394,0.35745654,4018.7188,1253.8352,0,100.0
2019-11-01,4138.1484,22.207947,0.33786315,4899.068,1048.0425,0,89.2
2019-12-01,3995.182,22.202759,0.32775933,5013.756,1723.83,0,83.6
2020-01-01,2338.776,23.745087,0.25104553,3283.1318,4018.7188,0,41.2
2020-02-01,2344.2231,24.20404,0.27358934,3921.8838,4899.068,0,53.7
2020-03-01,4620.6865,23.774414,0.30693564,4354.106,5013.756,0,72.1
2020-04-01,4708.5376,23.24414,0.31050912,6860.629,3283.1318,0,74.1
2020-05-01,4241.519,22.555023,0.3339787,4138.1484,3921.8838,0,87.0
2020-06-01,3577.5447,21.985016,0.32540688,3995.182,4354.106,0,82.3
2020-07-01,3437.5566,21.482513,0.32335293,2338.776,6860.629,0,81.2
2020-08-01,3991.9944,21.949768,0.32165214,2344.2231,4138.1484,0,80.2
2020-09-01,5246.691,21.858795,0.3395167,4620.6865,3995.182,0,90.1
2020-10-01,5570.899,21.85028,0.3472179,4708.5376,2338.776,0,94.3
2020-11-01,4466.499,22.104462,0.33298302,4241.519,2344.2231,0,86.5
2020-12-01,1565.0375,22.99237,0.26195824,3577.5447,4620.6865,0,47.2
2021-01-01,1420.0366,23.878876,0.22623122,3437.5566,4708.5376,0,27.5
2021-02-01,1112.3364,24.993744,0.20360185,3991.9944,4241.519,1,15.0
2021-03-01,2226.1755,24.581085,0.22917144,5246.691,3577.5447,0,29.1
2021-04-01,4078.6497,23.090576,0.29772213,5570.899,3437.5566,0,67.0
2021-05-01,4699.928,22.19336,0.33187962,4466.499,3991.9944,0,85.9
2021-06-01,1736.5549,22.419281,0.26880834,1565.0375,5246.691,0,51.0
2021-07-01,2298.3857,21.786133,0.28849193,1420.0366,5570.899,0,61.9
2021-08-01,2753.5176,22.21936,0.29114676,1112.3364,4466.499,0,63.4
2021-09-01,5025.053,21.936066,0.33083713,2226.1755,1565.0375,0,85.3
2021-10-01,3663.4973,22.917175,0.31377843,4078.6497,1420.0366,0,75.9
2021-11-01,1989.9436,23.553986,0.25413516,4699.928,1112.3364,0,42.9
2021-12-01,1781.9858,24.178894,0.22984825,1736.5549,2226.1755,0,29.5
2022-01-01,1356.8845,24.015137,0.22480424,2298.3857,4078.6497,0,26.7
2022-02-01,1125.4354,24.69571,0.2017708,2753.5176,4699.928,1,14.0
